,time,ddr,pol
none,1,1,fixed-non-coh-dma
llc,1.105660665,0.2110921415,fixed-llc-coh-dma
recall,1.061030021,0.2186425391,fixed-coh-dma
full,1.800657363,0.2842675428,fixed-full-coh
rand,1.361717056,0.7260821367,rand
design,1.084903834,0.3465185801,fixed-hetero
auto,0.8210046694,0.1870880518,manual
100-0,0.8546634742,0.0889376167,cohmeleon
25-75,0.8524571579,0.07731703435,cohmeleon
10-90,0.8974427486,0.1683954349,cohmeleon
0-100,0.9478061679,0.10232723,cohmeleon
100-0-2,0.8410983074,0.1234501315,cohmeleon
75-25,0.8371788591,0.08780822759,cohmeleon
35-65,0.8447851185,0.09138441244,cohmeleon
25-75-2,0.8325853695,0.09058493523,cohmeleon
50-50-2,0.8651319417,0.1130592272,cohmeleon
75-25-2,0.8496519141,0.06947177053,cohmeleon
100-0-3,0.8434490286,0.08990182512,cohmeleon
75-25-3,0.8427772951,0.08954007706,cohmeleon
65-35,0.8469028875,0.07461702792,cohmeleon
25-75-3,0.8492940554,0.1031817071,cohmeleon
75-25-4,0.8427194553,0.08432130202,cohmeleon
